"ID","Date","Miles","Litres","Price Ltr","Vehicle"
75,"20/03/2008 00:00:00",1.2717900000000000e+05,4.5500000000000000e+01,1.1090,"Peugeot"
76,"02/04/2008 00:00:00",1.2764700000000000e+05,4.2159999999999997e+01,1.1390,"Peugeot"
77,"25/04/2008 00:00:00",1.2813600000000000e+05,4.3899999999999999e+01,1.1790,"Peugeot"
78,"24/05/2008 00:00:00",1.2870800000000000e+05,4.6640000000000001e+01,1.2590,"Peugeot"
79,"11/06/2008 00:00:00",1.2921500000000000e+05,3.9119999999999997e+01,1.2790,"Peugeot"
80,"28/06/2008 00:00:00",1.2967600000000000e+05,3.7399999999999999e+01,1.3090,"Peugeot"
81,"09/07/2008 00:00:00",1.3013600000000000e+05,3.6409999999999997e+01,1.3090,"Peugeot"
82,"29/07/2008 00:00:00",1.3067000000000000e+05,4.3950000000000003e+01,1.2890,"Peugeot"
83,"26/08/2008 00:00:00",1.3124100000000000e+05,4.2299999999999997e+01,1.2090,"Peugeot"
84,"13/09/2008 00:00:00",1.3170600000000000e+05,4.3270000000000003e+01,1.2190,"Peugeot"
85,"27/09/2008 00:00:00",1.3226300000000000e+05,4.3840000000000003e+01,1.1890,"Peugeot"
86,"17/10/2008 00:00:00",1.3277400000000000e+05,4.2930000000000000e+01,1.1390,"Peugeot"
87,"04/11/2008 00:00:00",1.3324100000000000e+05,3.8950000000000003e+01,1.0960,"Peugeot"
88,"20/11/2008 00:00:00",1.3379700000000000e+05,4.3549999999999997e+01,1.0690,"Peugeot"
89,"11/12/2008 00:00:00",1.3429100000000000e+05,4.5259999999999998e+01,1.0390,"Peugeot"
90,"23/12/2008 00:00:00",1.3475300000000000e+05,3.9899999999999999e+01,0.9990,"Peugeot"
91,"11/01/2009 00:00:00",1.3520300000000000e+05,3.9740000000000002e+01,0.9790,"Peugeot"
92,"25/01/2009 00:00:00",1.3567800000000000e+05,4.1640000000000001e+01,1.0090,"Peugeot"
93,"06/02/2009 00:00:00",1.3601000000000000e+05,2.9829999999999998e+01,0.9990,"Peugeot"
94,"01/03/2009 00:00:00",1.3651900000000000e+05,4.1420000000000002e+01,0.9990,"Peugeot"
95,"23/03/2009 00:00:00",1.3702100000000000e+05,4.3060000000000002e+01,0.9880,"Peugeot"
96,"06/05/2009 00:00:00",1.3796600000000000e+05,8.4000000000000000e+01,1.0100,"Peugeot"
97,"28/05/2009 00:00:00",1.3847000000000000e+05,4.3990000000000002e+01,1.0190,"Peugeot"
98,"21/06/2009 00:00:00",1.3904300000000000e+05,4.6840000000000003e+01,1.0390,"Peugeot"
99,"22/07/2009 00:00:00",1.3965600000000000e+05,4.9020000000000003e+01,0.9990,"Peugeot"
100,"28/08/2009 00:00:00",1.4090000000000000e+05,1.0000000000000000e+02,1.0290,"Peugeot"
101,"23/09/2009 00:00:00",1.4137100000000000e+05,4.4500000000000000e+01,1.0390,"Peugeot"
1,"17/08/2000 00:00:00",6.8033000000000000e+04,4.0039999999999999e+01,0.7990,"Peugeot"
2,"07/09/2000 00:00:00",6.8454000000000000e+04,5.2560000000000002e+01,0.7990,"Peugeot"
3,"21/09/2000 00:00:00",6.8675000000000000e+04,2.2520000000000000e+01,0.7990,"Peugeot"
4,"20/10/2000 00:00:00",6.9029000000000000e+04,3.9189999999999998e+01,0.8190,"Peugeot"
5,"22/10/2000 00:00:00",6.9340000000000000e+04,2.9910000000000000e+01,0.8190,"Peugeot"
6,"07/11/2000 00:00:00",6.9580000000000000e+04,2.8820000000000000e+01,0.8390,"Peugeot"
7,"28/11/2000 00:00:00",6.9903000000000000e+04,3.6799999999999997e+01,0.8590,"Peugeot"
8,"23/12/2000 00:00:00",7.0273000000000000e+04,4.2520000000000003e+01,0.8290,"Peugeot"
9,"19/01/2001 00:00:00",7.0706000000000000e+04,4.8079999999999998e+01,0.7990,"Peugeot"
10,"15/02/2001 00:00:00",7.1145000000000000e+04,4.3799999999999997e+01,0.7990,"Peugeot"
11,"05/03/2001 00:00:00",7.1559000000000000e+04,4.8759999999999998e+01,0.7690,"Peugeot"
12,"12/04/2001 00:00:00",7.2008000000000000e+04,5.4009999999999998e+01,0.7590,"Peugeot"
13,"11/05/2001 00:00:00",7.2472000000000000e+04,5.0710000000000001e+01,0.7690,"Peugeot"
14,"11/06/2001 00:00:00",7.3082000000000000e+04,5.7210000000000001e+01,0.7690,"Peugeot"
15,"26/08/2001 00:00:00",7.4265000000000000e+04,1.1019000000000000e+02,0.7690,"Peugeot"
16,"30/08/2001 00:00:00",7.4732000000000000e+04,4.9070000000000000e+01,0.8100,"Peugeot"
