"ID","Date","Miles","Litres","Price Ltr","Vehicle"
121,"23/11/03 00:00:00",4.7826000000000000e+04,4.7090000000000003e+01,0.7390,"Escort 55D"
122,"09/12/03 00:00:00",4.8335000000000000e+04,4.6840000000000003e+01,0.7490,"Escort 55D"
123,"29/12/03 00:00:00",4.8837000000000000e+04,4.7399999999999999e+01,0.7590,"Escort 55D"
124,"17/01/04 00:00:00",4.9319000000000000e+04,4.6020000000000003e+01,0.7490,"Escort 55D"
125,"30/01/04 00:00:00",4.9775000000000000e+04,4.2969999999999999e+01,0.7490,"Escort 55D"
126,"17/02/04 00:00:00",5.0225000000000000e+04,4.4539999999999999e+01,0.7490,"Escort 55D"
127,"04/03/04 00:00:00",5.0695000000000000e+04,4.6710000000000001e+01,0.7490,"Escort 55D"
128,"22/03/04 00:00:00",5.1188000000000000e+04,4.9000000000000000e+01,0.7690,"Escort 55D"
129,"13/04/04 00:00:00",5.1680000000000000e+04,4.6719999999999999e+01,0.7690,"Escort 55D"
130,"30/04/04 00:00:00",5.2163000000000000e+04,4.5689999999999998e+01,0.7890,"Escort 55D"
131,"21/05/04 00:00:00",5.2684000000000000e+04,4.8920000000000002e+01,0.8190,"Escort 55D"
132,"11/06/04 00:00:00",5.3176000000000000e+04,4.5070000000000000e+01,0.7990,"Escort 55D"
133,"30/06/04 00:00:00",5.3658000000000000e+04,4.6500000000000000e+01,0.7990,"Escort 55D"
134,"24/07/04 00:00:00",5.4141000000000000e+04,4.5509999999999998e+01,0.8190,"Escort 55D"
135,"12/08/04 00:00:00",5.4639000000000000e+04,5.0560000000000002e+01,0.8190,"Escort 55D"
136,"13/09/04 00:00:00",5.5225000000000000e+04,4.8829999999999998e+01,0.8190,"Escort 55D"
137,"30/09/04 00:00:00",5.5720000000000000e+04,4.6869999999999997e+01,0.8290,"Escort 55D"
138,"18/10/04 00:00:00",5.6224000000000000e+04,4.8149999999999999e+01,0.8490,"Escort 55D"
139,"07/11/04 00:00:00",5.6655000000000000e+04,4.1930000000000000e+01,0.8590,"Escort 55D"
140,"20/11/04 00:00:00",5.7121000000000000e+04,5.1689999999999998e+01,0.8590,"Escort 55D"
141,"08/12/04 00:00:00",5.7646000000000000e+04,4.6630000000000003e+01,0.8590,"Escort 55D"
142,"23/12/04 00:00:00",5.8112000000000000e+04,4.3960000000000001e+01,0.8490,"Escort 55D"
143,"14/01/05 00:00:00",5.8600000000000000e+04,4.8859999999999999e+01,0.8390,"Escort 55D"
144,"29/01/05 00:00:00",5.9054000000000000e+04,4.6340000000000003e+01,0.8690,"Escort 55D"
145,"13/02/05 00:00:00",5.9531000000000000e+04,4.7259999999999998e+01,0.8390,"Escort 55D"
146,"01/03/05 00:00:00",5.9914000000000000e+04,3.8619999999999997e+01,0.8390,"Escort 55D"
147,"19/03/05 00:00:00",6.0408000000000000e+04,4.8009999999999998e+01,0.8590,"Escort 55D"
148,"09/04/05 00:00:00",6.0866000000000000e+04,4.4399999999999999e+01,0.8890,"Escort 55D"
149,"24/04/05 00:00:00",6.1328000000000000e+04,4.4350000000000001e+01,0.8890,"Escort 55D"
150,"10/05/05 00:00:00",6.1759000000000000e+04,4.2520000000000003e+01,0.8890,"Escort 55D"
151,"31/05/05 00:00:00",6.2254000000000000e+04,4.5090000000000003e+01,0.8690,"Escort 55D"
152,"17/07/05 00:00:00",6.2752000000000000e+04,1.2660000000000000e+01,0.9190,"Escort 55D"
